InvestigationID,ClaimID,Investigator,InvestigationStatus,FraudType,FraudConfirmed
FRD600878,CLM920902,M. Srinivasan (SIU),Closed,Staged Accident,Not Confirmed
FRD600879,CLM920932,K. Joseph (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600880,CLM920947,R. Menon (SIU),Closed,Fictitious Policy,Confirmed
FRD600881,CLM920958,S. Bhalla (SIU),Closed,Inflated Claim Amount,Not Confirmed
FRD600882,CLM921008,K. Joseph (SIU),Closed,Staged Accident,Not Confirmed
FRD600883,CLM921018,A. Verma (SIU),Ongoing,Identity Theft,Under Review
FRD600884,CLM921027,K. Joseph (SIU),Closed,Fake Documents,Not Confirmed
FRD600885,CLM921038,A. Verma (SIU),Closed,Staged Accident,Confirmed
FRD600886,CLM921110,N. Kohli (SIU),Ongoing,Identity Theft,Under Review
FRD600887,CLM921114,K. Joseph (SIU),Closed,Fictitious Policy,Confirmed
FRD600888,CLM921119,N. Kohli (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600889,CLM921133,N. Kohli (SIU),Ongoing,Inflated Claim Amount,Under Review
FRD600890,CLM921155,D. Pillai (SIU),Ongoing,Multiple/Duplicate Claims,Under Review
FRD600891,CLM921178,S. Bhalla (SIU),Closed,Multiple/Duplicate Claims,Not Confirmed
FRD600892,CLM921286,R. Menon (SIU),Closed,Fake Documents,Confirmed
FRD600893,CLM921289,D. Pillai (SIU),Closed,Fake Documents,Confirmed
FRD600894,CLM921290,N. Kohli (SIU),Closed,Fake Documents,Confirmed
FRD600895,CLM921317,A. Verma (SIU),Ongoing,Fake Documents,Under Review
FRD600896,CLM921333,K. Joseph (SIU),Ongoing,Identity Theft,Under Review
FRD600897,CLM921343,A. Verma (SIU),Ongoing,Staged Accident,Under Review
FRD600898,CLM921351,D. Pillai (SIU),Ongoing,Fictitious Policy,Under Review
FRD600899,CLM921362,M. Srinivasan (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD600900,CLM921365,N. Kohli (SIU),Ongoing,False Death Claim,Under Review
FRD600901,CLM921378,N. Kohli (SIU),Ongoing,Identity Theft,Under Review
FRD600902,CLM921383,D. Pillai (SIU),Ongoing,Fake Documents,Under Review
FRD600903,CLM921393,K. Joseph (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD600904,CLM921397,M. Srinivasan (SIU),Closed,Fake Documents,Confirmed
FRD600905,CLM921506,A. Verma (SIU),Ongoing,Identity Theft,Under Review
FRD600906,CLM921533,M. Srinivasan (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600907,CLM921570,D. Pillai (SIU),Closed,Inflated Claim Amount,Not Confirmed
FRD600908,CLM921577,K. Joseph (SIU),Ongoing,Multiple/Duplicate Claims,Under Review
FRD600909,CLM921600,M. Srinivasan (SIU),Closed,Identity Theft,Confirmed
FRD600910,CLM921605,D. Pillai (SIU),Closed,Staged Accident,Confirmed
FRD600911,CLM921611,A. Verma (SIU),Closed,Multiple/Duplicate Claims,Not Confirmed
FRD600912,CLM921621,D. Pillai (SIU),Ongoing,Fake Documents,Under Review
FRD600913,CLM921671,D. Pillai (SIU),Closed,Inflated Claim Amount,Not Confirmed
FRD600914,CLM921676,D. Pillai (SIU),Ongoing,Inflated Claim Amount,Under Review
FRD600915,CLM921696,A. Verma (SIU),Ongoing,Identity Theft,Under Review
FRD600916,CLM921699,R. Menon (SIU),Closed,Identity Theft,Confirmed
FRD600917,CLM921706,A. Verma (SIU),Ongoing,Identity Theft,Under Review
FRD600918,CLM921709,A. Verma (SIU),Ongoing,Multiple/Duplicate Claims,Under Review
FRD600919,CLM921721,R. Menon (SIU),Closed,Fictitious Policy,Confirmed
FRD600920,CLM921735,R. Menon (SIU),Ongoing,Inflated Claim Amount,Under Review
FRD600921,CLM921815,A. Verma (SIU),Closed,Inflated Claim Amount,Not Confirmed
FRD600922,CLM921850,P. Acharya (SIU),Closed,Staged Accident,Not Confirmed
FRD600923,CLM921856,K. Joseph (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600924,CLM921921,D. Pillai (SIU),Ongoing,Multiple/Duplicate Claims,Under Review
FRD600925,CLM921950,R. Menon (SIU),Closed,Identity Theft,Confirmed
FRD600926,CLM921969,R. Menon (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD600927,CLM921986,K. Joseph (SIU),Closed,False Death Claim,Not Confirmed
FRD600928,CLM922011,R. Menon (SIU),Closed,Provider Collusion,Confirmed
FRD600929,CLM922013,R. Menon (SIU),Closed,Fake Documents,Confirmed
FRD600930,CLM922020,N. Kohli (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600931,CLM922029,K. Joseph (SIU),Closed,Staged Accident,Not Confirmed
FRD600932,CLM922035,M. Srinivasan (SIU),Ongoing,Inflated Claim Amount,Under Review
FRD600933,CLM922043,A. Verma (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600934,CLM922050,N. Kohli (SIU),Ongoing,Fake Documents,Under Review
FRD600935,CLM922071,M. Srinivasan (SIU),Closed,Fake Documents,Confirmed
FRD600936,CLM922072,P. Acharya (SIU),Closed,Inflated Claim Amount,Not Confirmed
FRD600937,CLM922121,N. Kohli (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD600938,CLM922141,S. Bhalla (SIU),Closed,Staged Accident,Confirmed
FRD600939,CLM922159,N. Kohli (SIU),Closed,Inflated Claim Amount,Not Confirmed
FRD600940,CLM922178,M. Srinivasan (SIU),Ongoing,Inflated Claim Amount,Under Review
FRD600941,CLM922187,P. Acharya (SIU),Ongoing,Staged Accident,Under Review
FRD600942,CLM922220,P. Acharya (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600943,CLM922250,S. Bhalla (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600944,CLM922294,D. Pillai (SIU),Closed,Fictitious Policy,Not Confirmed
FRD600945,CLM922302,N. Kohli (SIU),Ongoing,Inflated Claim Amount,Under Review
FRD600946,CLM922316,S. Bhalla (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600947,CLM922341,R. Menon (SIU),Closed,Fictitious Policy,Not Confirmed
FRD600948,CLM922394,P. Acharya (SIU),Closed,Fake Documents,Confirmed
FRD600949,CLM922409,N. Kohli (SIU),Closed,Fake Documents,Confirmed
FRD600950,CLM922412,A. Verma (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600951,CLM922418,A. Verma (SIU),Closed,Fake Documents,Confirmed
FRD600952,CLM922421,A. Verma (SIU),Closed,Fake Documents,Not Confirmed
FRD600953,CLM922462,K. Joseph (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600954,CLM922483,P. Acharya (SIU),Closed,False Death Claim,Not Confirmed
FRD600955,CLM922506,S. Bhalla (SIU),Closed,False Death Claim,Not Confirmed
FRD600956,CLM922513,M. Srinivasan (SIU),Closed,Identity Theft,Not Confirmed
FRD600957,CLM922523,R. Menon (SIU),Ongoing,Staged Accident,Under Review
FRD600958,CLM922529,M. Srinivasan (SIU),Closed,Inflated Claim Amount,Not Confirmed
FRD600959,CLM922583,N. Kohli (SIU),Closed,Staged Accident,Not Confirmed
FRD600960,CLM922591,A. Verma (SIU),Closed,Provider Collusion,Confirmed
FRD600961,CLM922594,A. Verma (SIU),Closed,Identity Theft,Confirmed
FRD600962,CLM922609,M. Srinivasan (SIU),Ongoing,Fake Documents,Under Review
FRD600963,CLM922615,P. Acharya (SIU),Closed,Fictitious Policy,Confirmed
FRD600964,CLM922628,A. Verma (SIU),Closed,Fake Documents,Not Confirmed
FRD600965,CLM922634,N. Kohli (SIU),Closed,Fake Documents,Confirmed
FRD600966,CLM922667,K. Joseph (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD600967,CLM922700,S. Bhalla (SIU),Closed,Staged Accident,Confirmed
FRD600968,CLM922712,N. Kohli (SIU),Closed,False Death Claim,Confirmed
FRD600969,CLM922721,M. Srinivasan (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600970,CLM922730,S. Bhalla (SIU),Ongoing,Fictitious Policy,Under Review
FRD600971,CLM922742,R. Menon (SIU),Ongoing,Inflated Claim Amount,Under Review
FRD600972,CLM922769,P. Acharya (SIU),Closed,Fake Documents,Confirmed
FRD600973,CLM922796,D. Pillai (SIU),Closed,Identity Theft,Not Confirmed
FRD600974,CLM922842,R. Menon (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600975,CLM922848,R. Menon (SIU),Closed,Identity Theft,Confirmed
FRD600976,CLM922877,K. Joseph (SIU),Closed,Multiple/Duplicate Claims,Not Confirmed
FRD600977,CLM922880,P. Acharya (SIU),Closed,Staged Accident,Not Confirmed
FRD600978,CLM922908,D. Pillai (SIU),Ongoing,Provider Collusion,Under Review
FRD600979,CLM922927,M. Srinivasan (SIU),Ongoing,Multiple/Duplicate Claims,Under Review
FRD600980,CLM922935,N. Kohli (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600981,CLM922965,P. Acharya (SIU),Closed,Fake Documents,Not Confirmed
FRD600982,CLM922982,M. Srinivasan (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600983,CLM923037,P. Acharya (SIU),Closed,Fake Documents,Not Confirmed
FRD600984,CLM923066,S. Bhalla (SIU),Ongoing,Inflated Claim Amount,Under Review
FRD600985,CLM923092,N. Kohli (SIU),Ongoing,Inflated Claim Amount,Under Review
FRD600986,CLM923133,M. Srinivasan (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600987,CLM923143,P. Acharya (SIU),Closed,Fake Documents,Confirmed
FRD600988,CLM923239,R. Menon (SIU),Ongoing,Provider Collusion,Under Review
FRD600989,CLM923296,R. Menon (SIU),Closed,Provider Collusion,Confirmed
FRD600990,CLM923302,A. Verma (SIU),Closed,Fake Documents,Not Confirmed
FRD600991,CLM923343,K. Joseph (SIU),Closed,Provider Collusion,Not Confirmed
FRD600992,CLM923384,M. Srinivasan (SIU),Closed,Staged Accident,Confirmed
FRD600993,CLM923403,N. Kohli (SIU),Closed,Inflated Claim Amount,Not Confirmed
FRD600994,CLM923404,P. Acharya (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600995,CLM923418,S. Bhalla (SIU),Ongoing,Fake Documents,Under Review
FRD600996,CLM923443,A. Verma (SIU),Closed,Fake Documents,Not Confirmed
FRD600997,CLM923467,A. Verma (SIU),Closed,Staged Accident,Not Confirmed
FRD600998,CLM923507,P. Acharya (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600999,CLM923573,S. Bhalla (SIU),Closed,Fictitious Policy,Confirmed
FRD601000,CLM923574,P. Acharya (SIU),Closed,Identity Theft,Confirmed
FRD601001,CLM923586,S. Bhalla (SIU),Ongoing,Staged Accident,Under Review
FRD601002,CLM923605,N. Kohli (SIU),Closed,Staged Accident,Confirmed
FRD601003,CLM923617,D. Pillai (SIU),Closed,False Death Claim,Not Confirmed
FRD601004,CLM923683,M. Srinivasan (SIU),Ongoing,Fictitious Policy,Under Review
FRD601005,CLM923705,D. Pillai (SIU),Closed,Identity Theft,Confirmed
FRD601006,CLM923712,K. Joseph (SIU),Closed,Inflated Claim Amount,Not Confirmed
FRD601007,CLM923731,P. Acharya (SIU),Closed,Fictitious Policy,Confirmed
FRD601008,CLM923764,S. Bhalla (SIU),Closed,Provider Collusion,Confirmed
FRD601009,CLM923776,S. Bhalla (SIU),Closed,Inflated Claim Amount,Confirmed
FRD601010,CLM923851,K. Joseph (SIU),Closed,Staged Accident,Confirmed
FRD601011,CLM923887,K. Joseph (SIU),Ongoing,Identity Theft,Under Review
FRD601012,CLM923901,S. Bhalla (SIU),Closed,Fake Documents,Confirmed
FRD601013,CLM923933,D. Pillai (SIU),Closed,Inflated Claim Amount,Confirmed
FRD601014,CLM923942,K. Joseph (SIU),Closed,Fake Documents,Confirmed
FRD601015,CLM923991,R. Menon (SIU),Closed,Inflated Claim Amount,Confirmed
FRD601016,CLM924038,R. Menon (SIU),Closed,Identity Theft,Not Confirmed
FRD601017,CLM924064,D. Pillai (SIU),Closed,Staged Accident,Confirmed
FRD601018,CLM924092,P. Acharya (SIU),Ongoing,Provider Collusion,Under Review
FRD601019,CLM924105,S. Bhalla (SIU),Closed,Inflated Claim Amount,Confirmed
FRD601020,CLM924114,K. Joseph (SIU),Closed,Staged Accident,Confirmed
FRD601021,CLM924118,S. Bhalla (SIU),Ongoing,Multiple/Duplicate Claims,Under Review
FRD601022,CLM924143,R. Menon (SIU),Ongoing,Fake Documents,Under Review
FRD601023,CLM924163,R. Menon (SIU),Closed,Inflated Claim Amount,Not Confirmed
FRD601024,CLM924165,N. Kohli (SIU),Closed,Provider Collusion,Confirmed
FRD601025,CLM924198,D. Pillai (SIU),Closed,Fictitious Policy,Confirmed
FRD601026,CLM924204,S. Bhalla (SIU),Ongoing,Inflated Claim Amount,Under Review
FRD601027,CLM924250,R. Menon (SIU),Closed,Fictitious Policy,Confirmed
FRD601028,CLM924252,A. Verma (SIU),Ongoing,Inflated Claim Amount,Under Review
FRD601029,CLM924319,S. Bhalla (SIU),Closed,Fake Documents,Confirmed
FRD601030,CLM924328,D. Pillai (SIU),Closed,Fictitious Policy,Not Confirmed
FRD601031,CLM924362,K. Joseph (SIU),Closed,Staged Accident,Not Confirmed
FRD601032,CLM924390,P. Acharya (SIU),Closed,Inflated Claim Amount,Confirmed
FRD601033,CLM924436,R. Menon (SIU),Closed,Inflated Claim Amount,Not Confirmed
FRD601034,CLM924459,P. Acharya (SIU),Closed,Identity Theft,Not Confirmed
FRD601035,CLM924470,K. Joseph (SIU),Closed,Fake Documents,Confirmed
FRD601036,CLM924497,K. Joseph (SIU),Closed,Provider Collusion,Not Confirmed
FRD601037,CLM924507,K. Joseph (SIU),Closed,Inflated Claim Amount,Confirmed
FRD601038,CLM924510,P. Acharya (SIU),Closed,False Death Claim,Confirmed
FRD601039,CLM924529,N. Kohli (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD601040,CLM924567,K. Joseph (SIU),Closed,Multiple/Duplicate Claims,Not Confirmed
FRD601041,CLM924579,D. Pillai (SIU),Closed,Multiple/Duplicate Claims,Not Confirmed
FRD601042,CLM924634,N. Kohli (SIU),Closed,Staged Accident,Confirmed
FRD601043,CLM924650,N. Kohli (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD601044,CLM924698,S. Bhalla (SIU),Ongoing,Fictitious Policy,Under Review
FRD601045,CLM924717,M. Srinivasan (SIU),Closed,Identity Theft,Not Confirmed
FRD601046,CLM924718,D. Pillai (SIU),Closed,Inflated Claim Amount,Confirmed
FRD601047,CLM924720,P. Acharya (SIU),Closed,Fake Documents,Not Confirmed
FRD601048,CLM924765,P. Acharya (SIU),Closed,Identity Theft,Confirmed
FRD601049,CLM924784,N. Kohli (SIU),Ongoing,Multiple/Duplicate Claims,Under Review
FRD601050,CLM924885,S. Bhalla (SIU),Closed,Multiple/Duplicate Claims,Not Confirmed
FRD601051,CLM924956,A. Verma (SIU),Closed,Staged Accident,Confirmed
FRD601052,CLM924961,M. Srinivasan (SIU),Ongoing,Staged Accident,Under Review
FRD601053,CLM925008,R. Menon (SIU),Ongoing,Identity Theft,Under Review
FRD601054,CLM925023,D. Pillai (SIU),Ongoing,Identity Theft,Under Review
FRD601055,CLM925086,N. Kohli (SIU),Closed,Fake Documents,Confirmed
FRD601056,CLM925154,R. Menon (SIU),Ongoing,Provider Collusion,Under Review
FRD601057,CLM925203,S. Bhalla (SIU),Ongoing,Identity Theft,Under Review
FRD601058,CLM925222,D. Pillai (SIU),Closed,Staged Accident,Not Confirmed
FRD601059,CLM925245,K. Joseph (SIU),Ongoing,Fake Documents,Under Review
FRD601060,CLM925275,P. Acharya (SIU),Closed,Inflated Claim Amount,Confirmed
FRD601061,CLM925291,K. Joseph (SIU),Closed,Staged Accident,Confirmed
FRD601062,CLM925294,P. Acharya (SIU),Closed,Inflated Claim Amount,Confirmed
FRD601063,CLM925315,R. Menon (SIU),Closed,Inflated Claim Amount,Not Confirmed
FRD601064,CLM925366,M. Srinivasan (SIU),Closed,Fictitious Policy,Confirmed
FRD601065,CLM925367,R. Menon (SIU),Closed,Staged Accident,Confirmed
FRD601066,CLM925431,R. Menon (SIU),Closed,Staged Accident,Not Confirmed
FRD601067,CLM925440,K. Joseph (SIU),Closed,Staged Accident,Not Confirmed
FRD601068,CLM925441,R. Menon (SIU),Closed,Inflated Claim Amount,Confirmed
FRD601069,CLM925462,M. Srinivasan (SIU),Closed,Staged Accident,Confirmed
FRD601070,CLM925507,R. Menon (SIU),Closed,Provider Collusion,Confirmed
FRD601071,CLM925511,P. Acharya (SIU),Closed,Fictitious Policy,Confirmed
FRD601072,CLM925559,N. Kohli (SIU),Closed,Provider Collusion,Not Confirmed
FRD601073,CLM925606,P. Acharya (SIU),Closed,Fake Documents,Not Confirmed
FRD601074,CLM925648,S. Bhalla (SIU),Closed,Staged Accident,Not Confirmed
FRD601075,CLM925674,P. Acharya (SIU),Closed,Provider Collusion,Confirmed
FRD601076,CLM925686,R. Menon (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD601077,CLM925704,N. Kohli (SIU),Closed,Inflated Claim Amount,Not Confirmed
FRD601078,CLM925741,M. Srinivasan (SIU),Ongoing,Inflated Claim Amount,Under Review
FRD601079,CLM925781,A. Verma (SIU),Ongoing,Identity Theft,Under Review
FRD601080,CLM925790,P. Acharya (SIU),Closed,Fake Documents,Confirmed
FRD601081,CLM925809,D. Pillai (SIU),Closed,Fake Documents,Not Confirmed
FRD601082,CLM925853,S. Bhalla (SIU),Ongoing,Multiple/Duplicate Claims,Under Review
FRD601083,CLM925921,S. Bhalla (SIU),Ongoing,Fake Documents,Under Review
FRD601084,CLM925969,N. Kohli (SIU),Ongoing,Provider Collusion,Under Review
FRD601085,CLM925989,K. Joseph (SIU),Closed,Inflated Claim Amount,Confirmed
FRD601086,CLM925992,K. Joseph (SIU),Closed,Identity Theft,Confirmed
FRD601087,CLM926017,N. Kohli (SIU),Closed,Fake Documents,Confirmed
FRD601088,CLM926046,N. Kohli (SIU),Closed,Staged Accident,Confirmed
FRD601089,CLM926053,P. Acharya (SIU),Closed,Inflated Claim Amount,Confirmed
FRD601090,CLM926054,M. Srinivasan (SIU),Closed,Fake Documents,Not Confirmed
FRD601091,CLM926057,S. Bhalla (SIU),Closed,Fictitious Policy,Confirmed
FRD601092,CLM926058,M. Srinivasan (SIU),Closed,Provider Collusion,Confirmed
FRD601093,CLM926143,A. Verma (SIU),Closed,Staged Accident,Confirmed
FRD601094,CLM926186,N. Kohli (SIU),Closed,Fake Documents,Confirmed
FRD601095,CLM926200,A. Verma (SIU),Ongoing,Inflated Claim Amount,Under Review
FRD601096,CLM926227,R. Menon (SIU),Closed,Inflated Claim Amount,Not Confirmed
FRD601097,CLM926236,D. Pillai (SIU),Closed,Provider Collusion,Not Confirmed
FRD601098,CLM926259,K. Joseph (SIU),Closed,False Death Claim,Not Confirmed
FRD601099,CLM926288,N. Kohli (SIU),Closed,Identity Theft,Confirmed
FRD601100,CLM926346,A. Verma (SIU),Ongoing,Provider Collusion,Under Review
FRD601101,CLM926373,R. Menon (SIU),Ongoing,Identity Theft,Under Review
FRD601102,CLM926378,K. Joseph (SIU),Ongoing,Provider Collusion,Under Review
FRD601103,CLM926400,P. Acharya (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD601104,CLM926405,A. Verma (SIU),Closed,Staged Accident,Not Confirmed
FRD601105,CLM926406,S. Bhalla (SIU),Ongoing,Fictitious Policy,Under Review
FRD601106,CLM926487,K. Joseph (SIU),Closed,Inflated Claim Amount,Confirmed
FRD601107,CLM926525,D. Pillai (SIU),Ongoing,Fake Documents,Under Review
FRD601108,CLM926571,S. Bhalla (SIU),Closed,Identity Theft,Confirmed
FRD601109,CLM926575,K. Joseph (SIU),Ongoing,Fake Documents,Under Review
FRD601110,CLM926580,R. Menon (SIU),Closed,Fake Documents,Not Confirmed
FRD601111,CLM926618,P. Acharya (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD601112,CLM926630,S. Bhalla (SIU),Closed,Fake Documents,Not Confirmed
FRD601113,CLM926640,N. Kohli (SIU),Ongoing,Fake Documents,Under Review
FRD601114,CLM926715,N. Kohli (SIU),Closed,Fictitious Policy,Confirmed
FRD601115,CLM926734,M. Srinivasan (SIU),Ongoing,Multiple/Duplicate Claims,Under Review
FRD601116,CLM926742,K. Joseph (SIU),Ongoing,Multiple/Duplicate Claims,Under Review
FRD601117,CLM926755,D. Pillai (SIU),Ongoing,Multiple/Duplicate Claims,Under Review
FRD601118,CLM926796,A. Verma (SIU),Closed,Staged Accident,Not Confirmed
FRD601119,CLM926800,S. Bhalla (SIU),Ongoing,Staged Accident,Under Review
FRD601120,CLM926841,S. Bhalla (SIU),Ongoing,Inflated Claim Amount,Under Review
FRD601121,CLM926854,N. Kohli (SIU),Closed,Multiple/Duplicate Claims,Not Confirmed
FRD601122,CLM926912,N. Kohli (SIU),Ongoing,Staged Accident,Under Review
FRD601123,CLM927021,S. Bhalla (SIU),Closed,Fake Documents,Not Confirmed
FRD601124,CLM927038,M. Srinivasan (SIU),Closed,Inflated Claim Amount,Confirmed
FRD601125,CLM927064,N. Kohli (SIU),Closed,Fictitious Policy,Confirmed
FRD601126,CLM927113,K. Joseph (SIU),Ongoing,Staged Accident,Under Review
FRD601127,CLM927139,R. Menon (SIU),Closed,Inflated Claim Amount,Not Confirmed
FRD601128,CLM927140,N. Kohli (SIU),Closed,Inflated Claim Amount,Not Confirmed
FRD601129,CLM927154,S. Bhalla (SIU),Closed,Inflated Claim Amount,Confirmed
FRD601130,CLM927231,K. Joseph (SIU),Closed,Fake Documents,Not Confirmed
FRD601131,CLM927262,K. Joseph (SIU),Ongoing,Inflated Claim Amount,Under Review
FRD601132,CLM927287,S. Bhalla (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD601133,CLM927328,S. Bhalla (SIU),Ongoing,Fictitious Policy,Under Review
FRD601134,CLM927334,K. Joseph (SIU),Closed,Identity Theft,Confirmed
FRD601135,CLM927346,N. Kohli (SIU),Closed,Multiple/Duplicate Claims,Not Confirmed
FRD601136,CLM927378,K. Joseph (SIU),Closed,Inflated Claim Amount,Confirmed
FRD601137,CLM927409,P. Acharya (SIU),Closed,Identity Theft,Not Confirmed
FRD601138,CLM927421,N. Kohli (SIU),Ongoing,False Death Claim,Under Review
FRD601139,CLM927446,N. Kohli (SIU),Closed,Inflated Claim Amount,Not Confirmed
FRD601140,CLM927458,P. Acharya (SIU),Closed,Fake Documents,Confirmed
FRD601141,CLM927459,M. Srinivasan (SIU),Closed,Fake Documents,Confirmed
FRD601142,CLM927467,N. Kohli (SIU),Closed,Fake Documents,Confirmed
FRD601143,CLM927572,D. Pillai (SIU),Closed,Multiple/Duplicate Claims,Not Confirmed
FRD601144,CLM927575,A. Verma (SIU),Closed,Staged Accident,Confirmed
FRD601145,CLM927608,S. Bhalla (SIU),Ongoing,Fake Documents,Under Review
FRD601146,CLM927642,K. Joseph (SIU),Closed,Multiple/Duplicate Claims,Not Confirmed
FRD601147,CLM927644,D. Pillai (SIU),Closed,Identity Theft,Confirmed
FRD601148,CLM927653,R. Menon (SIU),Ongoing,Multiple/Duplicate Claims,Under Review
FRD601149,CLM927658,R. Menon (SIU),Closed,Staged Accident,Not Confirmed
FRD601150,CLM927683,A. Verma (SIU),Ongoing,Staged Accident,Under Review
FRD601151,CLM927694,R. Menon (SIU),Ongoing,Identity Theft,Under Review
FRD601152,CLM927724,K. Joseph (SIU),Ongoing,Fictitious Policy,Under Review
FRD601153,CLM927755,P. Acharya (SIU),Closed,Staged Accident,Confirmed
FRD601154,CLM927767,S. Bhalla (SIU),Ongoing,Staged Accident,Under Review
FRD601155,CLM927773,P. Acharya (SIU),Ongoing,Identity Theft,Under Review
FRD601156,CLM927790,S. Bhalla (SIU),Closed,Fake Documents,Confirmed
FRD601157,CLM927833,P. Acharya (SIU),Closed,Fake Documents,Not Confirmed
FRD601158,CLM927840,S. Bhalla (SIU),Ongoing,Fake Documents,Under Review
FRD601159,CLM927841,S. Bhalla (SIU),Closed,Fake Documents,Confirmed
FRD601160,CLM927859,N. Kohli (SIU),Closed,Identity Theft,Not Confirmed
FRD601161,CLM927978,D. Pillai (SIU),Closed,Fake Documents,Confirmed
FRD601162,CLM927979,D. Pillai (SIU),Closed,Provider Collusion,Not Confirmed
FRD601163,CLM927981,A. Verma (SIU),Closed,Inflated Claim Amount,Confirmed
FRD601164,CLM928019,A. Verma (SIU),Closed,Identity Theft,Not Confirmed
FRD601165,CLM928027,A. Verma (SIU),Closed,Fictitious Policy,Not Confirmed
FRD601166,CLM928039,M. Srinivasan (SIU),Closed,Staged Accident,Confirmed
FRD601167,CLM928064,S. Bhalla (SIU),Ongoing,False Death Claim,Under Review
FRD601168,CLM928066,N. Kohli (SIU),Closed,Multiple/Duplicate Claims,Not Confirmed
FRD601169,CLM928091,A. Verma (SIU),Ongoing,Staged Accident,Under Review
FRD601170,CLM928167,K. Joseph (SIU),Closed,Inflated Claim Amount,Confirmed
FRD601171,CLM928183,R. Menon (SIU),Closed,False Death Claim,Confirmed
FRD601172,CLM928184,P. Acharya (SIU),Closed,Fictitious Policy,Confirmed
FRD601173,CLM928252,R. Menon (SIU),Ongoing,Inflated Claim Amount,Under Review
FRD601174,CLM928274,R. Menon (SIU),Ongoing,Provider Collusion,Under Review
FRD601175,CLM928296,P. Acharya (SIU),Ongoing,Multiple/Duplicate Claims,Under Review
FRD601176,CLM928301,R. Menon (SIU),Closed,Provider Collusion,Confirmed
FRD601177,CLM928405,K. Joseph (SIU),Ongoing,Provider Collusion,Under Review
FRD601178,CLM928464,M. Srinivasan (SIU),Closed,Fake Documents,Confirmed
FRD601179,CLM928492,N. Kohli (SIU),Closed,Fake Documents,Confirmed
FRD601180,CLM928514,D. Pillai (SIU),Closed,Fake Documents,Confirmed
FRD601181,CLM928520,P. Acharya (SIU),Closed,Fictitious Policy,Confirmed
FRD601182,CLM928539,K. Joseph (SIU),Ongoing,Inflated Claim Amount,Under Review
FRD601183,CLM928569,M. Srinivasan (SIU),Ongoing,Provider Collusion,Under Review
FRD601184,CLM928589,P. Acharya (SIU),Closed,Inflated Claim Amount,Confirmed
FRD601185,CLM928597,P. Acharya (SIU),Closed,Inflated Claim Amount,Confirmed
FRD601186,CLM928611,R. Menon (SIU),Ongoing,Fake Documents,Under Review
FRD601187,CLM928626,P. Acharya (SIU),Ongoing,Staged Accident,Under Review
FRD601188,CLM928632,P. Acharya (SIU),Closed,Inflated Claim Amount,Confirmed
FRD601189,CLM928647,S. Bhalla (SIU),Closed,Multiple/Duplicate Claims,Not Confirmed
FRD601190,CLM928655,N. Kohli (SIU),Ongoing,Fake Documents,Under Review
FRD601191,CLM928656,P. Acharya (SIU),Closed,Staged Accident,Confirmed
FRD601192,CLM928697,M. Srinivasan (SIU),Ongoing,Identity Theft,Under Review
FRD601193,CLM928706,M. Srinivasan (SIU),Closed,False Death Claim,Confirmed
FRD601194,CLM928708,A. Verma (SIU),Closed,Fictitious Policy,Not Confirmed
FRD601195,CLM928735,P. Acharya (SIU),Closed,Inflated Claim Amount,Confirmed
FRD601196,CLM928763,D. Pillai (SIU),Closed,Staged Accident,Not Confirmed
FRD601197,CLM928788,N. Kohli (SIU),Closed,Fake Documents,Confirmed
FRD601198,CLM928794,S. Bhalla (SIU),Ongoing,Multiple/Duplicate Claims,Under Review
FRD601199,CLM928796,N. Kohli (SIU),Closed,Identity Theft,Not Confirmed
FRD601200,CLM928849,K. Joseph (SIU),Closed,Inflated Claim Amount,Not Confirmed
FRD601201,CLM928873,N. Kohli (SIU),Closed,Fake Documents,Not Confirmed
FRD601202,CLM928874,K. Joseph (SIU),Closed,False Death Claim,Not Confirmed
